rank,From,benefit_eth,points_rounded,points
72,0xe87e5aba5dd5a647be98a915450ea411381da9ff,0.054,1490,1486.418443
73,0x0d9395a7e46d61005ade65236016adbb00e27487,0.051,1420,1416.380093
74,0x2a0708f8f0d153b6513a701670db60e9572fd239,0.051,1420,1416.380093
75,0x2ada6726273a62095f7e0e6823158c1563f5ead4,0.051,1420,1416.380093
76,0x4140ba8c150175e4be800ce3c65ad1c301445729,0.051,1420,1416.380093
77,0x7a60bbac3ffb8734b054e77740447072e1998d92,0.051,1420,1416.380093
78,0x7d95acb8067a556c63547c8acabaf366719da808,0.051,1420,1416.380093
79,0x97b4975a24ec47ed46eb13c1449159d832b36882,0.051,1420,1416.380093
80,0xb307011e21664aa5a334dd0622e6d3f962e6f2fb,0.051,1420,1416.380093
81,0xc1268b8b91695f47361b29751e60c3c249f1c934,0.051,1420,1416.380093
82,0xfab5fd4b877aa01f5822e16d4f5c5c3b03ce6ba0,0.051,1420,1416.380093
83,0x127817519773add023437b76bb2f6991a93da75c,0.048,1345,1345.144069
84,0x16b5cd246f9b2eb27318adb9feb015ded2fc678d,0.048,1345,1345.144069
85,0x2edf9bd91dd35d1bd701f2ed1d6bdb8746fa0199,0.048,1345,1345.144069
86,0x311a3bd490f0e8e99e24058cf87630576469196b,0.048,1345,1345.144069
87,0x3c159bea9478758289feb9ecfbb0b414a0e6cc21,0.048,1345,1345.144069
88,0x4a4421d762a2299c4440707b7bc3cefbccba31b6,0.048,1345,1345.144069
89,0x4ed2cfd34cc9ce4dccc5cc29f6e7f80ea134cab1,0.048,1345,1345.144069
90,0x5d965eea63f3b1effd97743e004230198dbd7d8d,0.048,1345,1345.144069
91,0x65a38656b2242a88d6cc2d68d372b7ed1160a9d3,0.048,1345,1345.144069
92,0x95e5fc45e4a53a37d718a3c0418d3c8ae91041e4,0.048,1345,1345.144069
93,0xa1331c13d60a66fe6e97232d9f88f3a814cc5c9a,0.048,1345,1345.144069
94,0xbd0fda31473461b21cb7d723e70b3b5c1c9cb251,0.048,1345,1345.144069
95,0xcea2232971ad7b98436bd31621bc0b7e32d88daa,0.048,1345,1345.144069
96,0xd2cce771e5ff72b82b57f06acd17cdfd3ce19cdf,0.048,1345,1345.144069
97,0xd8f3e822240687ab6f64278e1e9f3421440a4487,0.048,1345,1345.144069
98,0xe85db147ab10958981a5c8da534da0ea6fdcd248,0.048,1345,1345.144069
99,0xea9370b381e31f98e9bd8047641879c342bdbbad,0.048,1345,1345.144069
100,0xf2e8b4b1d98e2fcf6821be8770af4d32f92c1dad,0.048,1345,1345.144069
101,0x1b1217312a31b367199077000af1e4b0cd9c1ea5,0.045,1275,1272.668698
102,0x244effc8dc4c3b4373c5201284f676282460a7f0,0.045,1275,1272.668698
103,0x27fcd1617e7e6ac889be2995e3209c1851389d90,0.045,1275,1272.668698
104,0x3ce7241a8c5c291e50a0d027dd9badff9db1fd7c,0.045,1275,1272.668698
105,0x5b186781f84fc1afc395bfd17a710c4456584dfa,0.045,1275,1272.668698
106,0x7ddbcb5be8b445a60c15380137e6f7d6ef468919,0.045,1275,1272.668698
107,0x91eb3c9395ff3983ac4147e31e8c297234a5845f,0.045,1275,1272.668698
108,0x95138915bed5f14d46508f702957e530364a7a76,0.045,1275,1272.668698
109,0xa10cc888c1d52fc905303a291058ff54bdc15389,0.045,1275,1272.668698
110,0xa592e44b41c0017f3739d1c3682e91d5e65f031c,0.045,1275,1272.668698
111,0x241a352e0e40d21bf5c3e04916c54a870ec42a71,0.042,1200,1198.910092
112,0x259a899ad710a61d15f8e36599c854d4087512de,0.042,1200,1198.910092
113,0x4ae117c1661437153e70885ec0c49bc270511ac2,0.042,1200,1198.910092
114,0x4d2bba9bf15d67ec26362f97b7b9e849b7cc8d9f,0.042,1200,1198.910092
115,0x53c65aeb1dd4f5876a277e82a1484d2e3735dcbf,0.042,1200,1198.910092
116,0x56b72c740c276e2fc0ff5472aa23ca166d0e14b6,0.042,1200,1198.910092
117,0x621f9222097b1d12045b987c1ad473541de695c4,0.042,1200,1198.910092
118,0x6c46e63860e3a72605298e906edbffb266142659,0.042,1200,1198.910092
119,0x9f0cf5c5de2d42c19c5e6aa2fdf55f042482c148,0.042,1200,1198.910092
120,0xae507de137ee051a5fbb39fede471c9ab482ee63,0.042,1200,1198.910092
121,0xb28e2f782c756705c5b0d405d886172930ce93f7,0.042,1200,1198.910092
122,0xbf23ada8f1e3655a4ef6ec3e742309200e30d884,0.042,1200,1198.910092
123,0xc3b811c534957ad0210c8b7acfd78431be18f2ac,0.042,1200,1198.910092
124,0xde4225cdae238cf5b01b84e6a67a0b86464c1363,0.042,1200,1198.910092
125,0xfd2469b9ac9b6fa7ce4c93ea92c672f4074ec156,0.042,1200,1198.910092
126,0x216e7a2afc7206a560b1cff735c148aa21df7eb9,0.039,1125,1123.821987
127,0x2ad4a1543e9caade74ca000dd7d266a02c91582b,0.039,1125,1123.821987
128,0x30c16f69a2de2e4460f269d93e747409ab9b8da7,0.039,1125,1123.821987
129,0x35bc9e854b107289020812b3fd34f969b82c598f,0.039,1125,1123.821987
130,0x364f80c8bf1a1a29c5d627508ecc1cf14fc3aae7,0.039,1125,1123.821987
131,0x39494011a14d32821769d155d1b4ef69d0e8608b,0.039,1125,1123.821987
132,0x409ffbc07202fcd37d6104aeeb347fa4d874df7d,0.039,1125,1123.821987
133,0x47289a70ec76272dfd16274cb6f3f4fe715c762a,0.039,1125,1123.821987
134,0x4b298abfc2949b6a2fb297532afc20df0e0ddd60,0.039,1125,1123.821987
135,0x4b5e74855ae3d84ef51e4f0293f674789a7070cf,0.039,1125,1123.821987
136,0x6121919010d96e7466146b3021d73aed4c195415,0.039,1125,1123.821987
137,0x65ab2af69d1d7c96b12e527584e5d457b57206b5,0.039,1125,1123.821987
138,0x670f7ca2679a7ee9ae6814e1a2d076517cc30805,0.039,1125,1123.821987
139,0x6e71cc8ad0d8f06679e75d158879354dd2c8bec1,0.039,1125,1123.821987
140,0x70eccfd71c2f63b64231e0487ebb7673e1c3c2f4,0.039,1125,1123.821987
141,0x72cadb0a20eed3bf7901fdf9795a915bdd9c9342,0.039,1125,1123.821987
142,0x7872822f2d9cf58974b930b2161cf5e079b583d2,0.039,1125,1123.821987
143,0x81c84fbc16341c63b97cd3527f9adf265de40084,0.039,1125,1123.821987
144,0x8a2ed790fc7d06ab4ed0ea2fab7d59f2f4f83a48,0.039,1125,1123.821987
145,0x95d1ae2af87c8726e88a72bd78f4a21283473398,0.039,1125,1123.821987
146,0x9ac45e27204b793221bf3973164b41501dde790b,0.039,1125,1123.821987
147,0xa44c271898c187a2a6b44c42b6c2eb01006b5ea4,0.039,1125,1123.821987
148,0xa953324614dde24532b1d2179cf2667fda9acfdb,0.039,1125,1123.821987
149,0xbff561fb6f81cf3e00cac6480645425ffb492e0c,0.039,1125,1123.821987
150,0xc09ff0e8ce882a1fb7ae824f40d106ae2d5b064f,0.039,1125,1123.821987
151,0xc759a6ba427035945b5ad67a4e559820e50c6623,0.039,1125,1123.821987
152,0xcfc1ce9bc437973bbb0f5404b5c225704f872ab6,0.039,1125,1123.821987
153,0xdaf701df34bc74aefcbb3d860f4c9e425787746a,0.039,1125,1123.821987
154,0xdc211ec401422b614002bc8e8e563816affd3718,0.039,1125,1123.821987
155,0xdff3eec7e8662138a59a0ed4a56b108166030354,0.039,1125,1123.821987
156,0xe1fc4b541afefabf230e292ecf8799f914e72978,0.039,1125,1123.821987
157,0xebd98859e0ae86783965c84fd3041948b1166185,0.039,1125,1123.821987
158,0xf17bdc1cd6dc8c84d2ca8f99bafc4b2dbd7f4064,0.039,1125,1123.821987
159,0xf60be5767a628218fc0baabcefe20cc773984608,0.039,1125,1123.821987
160,0xf73ea1f2a17269253e95a82d19050e4c863086e0,0.039,1125,1123.821987
161,0x0183ac814e537837598f1b4aee06c7e5cc0aa14b,0.036,1050,1047.355575
162,0x02cdd237d17042de38006d9a638f71c653dd7908,0.036,1050,1047.355575
163,0x07667d39a745c04508e25cfacd3f4f1448e02e5f,0.036,1050,1047.355575
164,0x11c75534250723d6697e9f90f60a77f08edae536,0.036,1050,1047.355575
165,0x13c94515369f8de7e21a159d3660bc1237305a4b,0.036,1050,1047.355575
166,0x15bbc0ca4e3f78df1b65a468c37e42423a15e2a5,0.036,1050,1047.355575
167,0x2b3823b4b79e955e9550778107095258f8006a6c,0.036,1050,1047.355575
168,0x3331f1eeb7945ad99721f897809a1ce9eb41c8ec,0.036,1050,1047.355575
169,0x3c973082c3118ec842820fa263b71b6e3b461ff9,0.036,1050,1047.355575
170,0x68096d20595e94465333efab9a73638648e2086c,0.036,1050,1047.355575
171,0x76abcd68d427898de48d00636add65a58c255809,0.036,1050,1047.355575
172,0x7b276f23a13793cbcae660c478fdc9705e23b87d,0.036,1050,1047.355575
173,0x9a7a03cf3bc98eb0f2da1318b451e4f2604a65db,0.036,1050,1047.355575
174,0xa3ba731dde179f8d294b47a383c7bb42be84d8e3,0.036,1050,1047.355575
175,0xa7e999cffe7e5c43eb1c20bac7c42b529f4f0031,0.036,1050,1047.355575
176,0xc45b747ced7a427e5419f864f2bb71eb6d5cdcf1,0.036,1050,1047.355575
177,0xc63d6fb6e24a314481fb1262c5830e056a356787,0.036,1050,1047.355575
178,0xcda3250f91b51352afb7e69742bb39defd1dd35f,0.036,1050,1047.355575
179,0xcf4c8bccc99859df35f7be1054fe6a16a04c4621,0.036,1050,1047.355575
180,0xd0e67cbf1dd1742a221cc4555de1956a3c5df7ba,0.036,1050,1047.355575
181,0xdc28530b17acb0d9a0b75b4f2d91491659aeabe3,0.036,1050,1047.355575
182,0xe2f1408c2f30bccd0402d1e8e452cc1302241760,0.036,1050,1047.355575
183,0x097e3725a78fe52a803da00e827bb60a99509483,0.033,970,969.4593085
184,0x0e07c8b076982091b75c0c556a50adc19b6e4aa3,0.033,970,969.4593085
185,0x27e67f385d1153c164862131e149306354becddb,0.033,970,969.4593085
186,0x452f7f735e7eeb6bb7783ba9ed94172e40e1aa29,0.033,970,969.4593085
187,0x486d54b89aee4ae9c5201f5747e2d051935d1a23,0.033,970,969.4593085
188,0x781292b32e41a8986324fcc9e45ca656bfd5552b,0.033,970,969.4593085
189,0x98e35e1db816caf2e8c377c1dbcb8d02b4400a3c,0.033,970,969.4593085
190,0xa1f62daf42d8bcd3669dec72271b3f658b9c3891,0.033,970,969.4593085
191,0xa4d12816a133b4da67bbf739c4523b9814f52b3a,0.033,970,969.4593085
192,0xae6f79e9cd6295c13cd42379219db3457636325d,0.033,970,969.4593085
193,0xb2c3399e00550c079c3393d1cb66952728bbac64,0.033,970,969.4593085
194,0xb62e049eafd428187f8af85ab5fe79f1fe837396,0.033,970,969.4593085
195,0xb7fd4302eb683185115741a15efe7fdda2e2c886,0.033,970,969.4593085
196,0xc1a937a725583ca22353929c9c9ecdde3b0c70c2,0.033,970,969.4593085
197,0xc94adae4217262e32ada377b5acc6b9b6b6e5535,0.033,970,969.4593085
198,0xd65d625d54ab3bfcbf99eb193e47721c3ffd720a,0.033,970,969.4593085
199,0xdb07a61738def73b555360f638e17433bc1015c0,0.033,970,969.4593085
200,0xed5ccb9b4ab476ebcf1cd845f00273358429aa74,0.033,970,969.4593085
201,0xf69f4755d1ef68212e912aee2d1be8225b8c3991,0.033,970,969.4593085
202,0x0e69b3e9e744219ecd5f40fa392f73f2c9876269,0.03,890,890.0786922
203,0x1002d9e169d5389574c381a2cf0f7e0d798e920f,0.03,890,890.0786922
204,0x257c58567d960d0b00a0aae615c1678f19ddecce,0.03,890,890.0786922
205,0x32fedf58b8437d871978d06cfd978c584e8ef062,0.03,890,890.0786922
206,0x3b66c2b5b3520c12ed0c68e52a6dd776816195f2,0.03,890,890.0786922
207,0x3c2014b146668b1ebff9c8cd499b437e8528d552,0.03,890,890.0786922
208,0x4508b4c584ba9e07406cab01d8808c430e5193e8,0.03,890,890.0786922
209,0x47f8d7138623dc83cb4e833c4d262c08a3bae29a,0.03,890,890.0786922
210,0x4ead1728bd0517835b949b64f51ebf432bdcb2e9,0.03,890,890.0786922
211,0x575feedb315233d1453e8e315cb0405be85710c9,0.03,890,890.0786922
212,0x6239863691eadd57bb19fd10609df9576f672b28,0.03,890,890.0786922
213,0x706e5eb129be1e74b135c04ab75943d12ee50d4c,0.03,890,890.0786922
214,0x7cf47bde8dc2cd3b9b0243a5406059ac50eb46e6,0.03,890,890.0786922
215,0x98f7cf671a9af9b2019477b6e59e4c42d49be92a,0.03,890,890.0786922
216,0xab52c5d446901de301c2ca1f1d79648313ed9c85,0.03,890,890.0786922
217,0xacdb292ed21b4adac6c7e8ea09178969567ac316,0.03,890,890.0786922
218,0xb691c0a252623f72b55f50106fce87e76598b0b0,0.03,890,890.0786922
219,0xbe7546a18470c967cf386c6f6bcea6b84a6691c4,0.03,890,890.0786922
220,0xbeb87dd2796e4dc8f7697217b4c7066ed706eb4a,0.03,890,890.0786922
221,0xc0ec71dccacad31b277b7d943db5662e23d392dd,0.03,890,890.0786922
222,0xc27cc3326cb70ed6d34331407d2516ad498de4a1,0.03,890,890.0786922
223,0xd8d7d47e9186a4661af727640d08316136d1f179,0.03,890,890.0786922
224,0xdfc76707a48da6035ae71a1083722b7a00509916,0.03,890,890.0786922
225,0xe358fb41f663b34d6be0035ad1315c031d3383ca,0.03,890,890.0786922
226,0xe700458175c2cbd9045b7dec6ce7794d918392b1,0.03,890,890.0786922
227,0xe7be0f78c5feca9aa918144afabf2f71fb98c5cf,0.03,890,890.0786922
228,0xf4810d4f5f23d8e3cf9a65d5a588dedefbc71407,0.03,890,890.0786922
229,0xf81f893341306976f241d56283215d8ff7d4cf0e,0.03,890,890.0786922
230,0x21209549eeb767014a0c7ecc5c186d71b48cd46f,0.027,810,809.1560555
231,0x24e47f5c9de1e1f6cf32093b927920d37f6d0dfc,0.027,810,809.1560555
232,0x30b5aa6107ec25a2931c809604185d79ee9f68da,0.027,810,809.1560555
233,0x337844866ce1f51be8eb9f3a4882b5cb891edba5,0.027,810,809.1560555
234,0x394a90aca22ef2af249944c996cd6ab744990d18,0.027,810,809.1560555
235,0x4521fa3d82431e5ccfa44b9713bde64d5589a6a8,0.027,810,809.1560555
236,0x4beca0c75cd29d82e5c2bcd701392fa93b12025b,0.027,810,809.1560555
237,0x4cd2c35bd8e7bf3769e8d5e0b1e7aec7dbe8e6f5,0.027,810,809.1560555
238,0x56d8216b0fd2cdf9741b25f38606c19105679c12,0.027,810,809.1560555
239,0x5c84826417ec8c2db29125933a2150d81b4979e5,0.027,810,809.1560555
240,0x5ffd9b56b13ed60fff4ec5278b6159f4d84cbdbe,0.027,810,809.1560555
241,0x7aa921d93e369913bdc473328d5787149d008dde,0.027,810,809.1560555
242,0x7f8fdc914fcba8c937c4fc5595680967a54a0454,0.027,810,809.1560555
243,0x80b29b93375665719ca3aecec8055ed6df6e8cfd,0.027,810,809.1560555
244,0x814390720bf3f2b45c31d3d1dc39cf609e6731e5,0.027,810,809.1560555
245,0xa279196302f3e436e7e1903049eb644543383328,0.027,810,809.1560555
246,0xb002c99deae625efee32582d6b1fc1e707465ef6,0.027,810,809.1560555
247,0xd6926ca3d54377bc3c051c7bb6a41738e02c19e4,0.027,810,809.1560555
248,0xd755d57f044ce32bdc1144b775263ba2560d1c99,0.027,810,809.1560555
249,0xf3fc1ee236e49c7335dbd5f347d6ce795afb773a,0.027,810,809.1560555
250,0xf5def7515faf6ddf1e03afeb5d81d8ceca2cc552,0.027,810,809.1560555
251,0x07585b962f002096299d86d47f6b81186dd5ce3b,0.024,730,726.6303003
252,0x08a19d9ec66c4d661b543107bc8ff3502a286f56,0.024,730,726.6303003
253,0x0aba8aa6a5debd25d8c3004643933318ac5892b8,0.024,730,726.6303003
254,0x2bc9c5cb99078b7adfde38b9926592701e5468b9,0.024,730,726.6303003
255,0x33d8bf3b3a56244f8220550d6caf671843c297bb,0.024,730,726.6303003
256,0x46f9e8bbf62418de84538d22a48184a60726507a,0.024,730,726.6303003
257,0x482e3f813564cdd52fa9b48b71dd5d20030231f3,0.024,730,726.6303003
258,0x4bcb50e49cde786d598d030650448ed9186a5a41,0.024,730,726.6303003
259,0x522525786e5b7512e695289e2819ad83234b85d1,0.024,730,726.6303003
260,0x55d64c99238e2e4489ff067e278c8349faf27529,0.024,730,726.6303003
261,0x5ed2a287f54a89e7101682744d2b84a9aedf4943,0.024,730,726.6303003
262,0x6f66435d874c18ff2e86492de1a099ca332b277c,0.024,730,726.6303003
263,0x73ee392daffe554406a1f7097e8ef94e9220d777,0.024,730,726.6303003
264,0x762ebc02ce3e75c7e699b674079d3f6a46f93399,0.024,730,726.6303003
265,0x7ebd7178e5cda7bf165626e2a4f6a955d14d160e,0.024,730,726.6303003
266,0x882fe4822ef3cfbb352409b45d33d60979629e56,0.024,730,726.6303003
267,0x95013ccb43e757fd2decb1e252c24cc42de4073c,0.024,730,726.6303003
268,0x9b7834bbdaa460ff9b2c3a897c7a052e77eadc55,0.024,730,726.6303003
269,0xad108a6fe0329f7e7bd28092c7ba6286b705c37d,0.024,730,726.6303003
270,0xb47ce2f8ffcd18495a708382ae35374f02d376c5,0.024,730,726.6303003
271,0xba494504d28432967146b7c878a2d08591f4058e,0.024,730,726.6303003
272,0xc7571c4789e71f3ec53b807388282a264e8c6d7a,0.024,730,726.6303003
273,0xd0cf0a50568d84842a2995ef6d94577c3da5f777,0.024,730,726.6303003
274,0xd76e0b8dd8cedac43f9603153758d806a0b1236a,0.024,730,726.6303003
275,0xdd5d59f160a13fc01d59d217578daed0e5fed2ea,0.024,730,726.6303003
276,0xde43e13ad206c93b272469c7cab5dd178a88cc8e,0.024,730,726.6303003
277,0xe2c9edfdd3a5a302c8b21dd39943d727449d8c21,0.024,730,726.6303003
278,0xe6cbc30e3b6da3e4d0e139b8daa0dd79b0738b97,0.024,730,726.6303003
279,0xe9df361a70a7e42e7cf170129249e8a4bb589173,0.024,730,726.6303003
280,0xebfc6dcfa35aebe9b0d2513006fe8cc4e42e31d2,0.024,730,726.6303003
281,0xeedd78d38cae5aecc63cc6395ae833dfd6f7f8dd,0.024,730,726.6303003
282,0xf569e313bdcfd2a21be93aaf408268db025b4feb,0.024,730,726.6303003
283,0xfb2bb4632f299f2fff63101671f02132437c2ce3,0.024,730,726.6303003
284,0x00bd3e58009601c77043672a8271451b18c9d6c2,0.021,645,642.4366233
285,0x01c0c7e466867c78889c3b01956710f7508efd44,0.021,645,642.4366233
286,0x023c3e0bc65999c66d0711bcb2e2d30152895fd1,0.021,645,642.4366233
287,0x0316187ad162d7c5be2f7112662e353c85b6384b,0.021,645,642.4366233
288,0x0c142a32c6a059f40477cc848aa470cf62e4498d,0.021,645,642.4366233
289,0x0ebf97104faa661db9f0abf41ec3df36e6d9cf5e,0.021,645,642.4366233
290,0x0f3d8cf1f5802061a68c4b558b21c72e41f44e2f,0.021,645,642.4366233
291,0x137775fb4621449cb90d326d96832f6075c3d7c1,0.021,645,642.4366233
292,0x166d8fe3471500b67a0eefa6672c6f2305e8a498,0.021,645,642.4366233
293,0x17390e51e4520e810ad447a88c99fac3c22d4c88,0.021,645,642.4366233
294,0x2a50d141fbc35a9ccb6610b8a57ceadb0c7c8848,0.021,645,642.4366233
295,0x2ab71800de8e00fe547f171b23379b536bab069e,0.021,645,642.4366233
296,0x2b552d6c6658c9e395a5056d78b3ef797937dade,0.021,645,642.4366233
297,0x2bb965fde72c17936950e17db029dc4f4ed32059,0.021,645,642.4366233
298,0x2bdcf9bea7d9ae062e9ec32a057d8adecba6e758,0.021,645,642.4366233
299,0x2e1e71b6f46459692315cbc944fc3be220516fd2,0.021,645,642.4366233
300,0x32903a735d6c0f3caaea62fb000a35dda91df3fb,0.021,645,642.4366233
301,0x3a14af457029c95f5e02d2c2eab3d98d43189aff,0.021,645,642.4366233
302,0x3dea2325af266b618d1c6442ca0cbd3dfec37ed6,0.021,645,642.4366233
303,0x3fdd190787d587acf40d5b3dd01c983a2e836e1a,0.021,645,642.4366233
304,0x430dbf32d7bbf8048f1572cc55dcbf4d2a6b4fd0,0.021,645,642.4366233
305,0x43ffaed39266e4f5d6258084a2a2a41bc4ecc316,0.021,645,642.4366233
306,0x457af9266f8af3417d784c2291fc50b1249c2553,0.021,645,642.4366233
307,0x4a17f19a7b7fd329f97db116c2a09798f8c57ad0,0.021,645,642.4366233
308,0x4dc6d324b08ce8f1c7f2b9b8777c990e54fce943,0.021,645,642.4366233
309,0x4eca3917a0d5a8cb3456475eae44a27c2a6938f3,0.021,645,642.4366233
310,0x51d0fd1350d939cb61788abbb7de3667d60bfdcd,0.021,645,642.4366233
311,0x53faacc8ebb8fab5b0cc15f8d06dae88bda67e00,0.021,645,642.4366233
312,0x54733e949758a8ba9b8f2d4519d91e44aee561e3,0.021,645,642.4366233
313,0x54fc8eb267e46cac7e431dba751a0da5bf979ec6,0.021,645,642.4366233
314,0x56b68f31535ba5340237fe827291b237bd2e57d0,0.021,645,642.4366233
315,0x5d9e5e53698ecbb926318a66a835e4fa0c6a6999,0.021,645,642.4366233
316,0x61a0659018b581d4217244b71c5ac8c4621fa830,0.021,645,642.4366233
317,0x66339e64c3447f32251a3baf79bc7f4192fd1386,0.021,645,642.4366233
318,0x692ecd9cb524fa01d519d048514308954821d147,0.021,645,642.4366233
319,0x6afbb755a0b773ecb5852155aac28d7127f60ad3,0.021,645,642.4366233
320,0x6d23d81a9054999796e327d07a0cd3364f1fbff8,0.021,645,642.4366233
